reftime,day,timeofday,weekday,activityScore_hour01,activityScore_hour02,activityScore_hour03,activityScore_hour04,activityScore_hour05,activityScore_hour06,activityScore_hour07,activityScore_hour08,activityScore_hour09,activityScore_hour10,activityScore_hour11,activityScore_hour12,activityScore_hour13,activityScore_hour14,activityScore_hour15,activityScore_hour16,activityScore_hour17,activityScore_hour18,activityScore_hour19,activityScore_hour20,activityScore_hour21,activityScore_hour22,activityScore_hour23,activityScore_hour24
1727395200000,  1,00:00:00,7,,,,,,,,,,,,,,,,,,,,,,,,
1727481600000,  2,00:00:00,1,,,,,,,,,,,0,0,0.2,0.3,,0,0,,,0,0,0,0,0
1727568000000,  3,00:00:00,2,0,0,0,0,0,0,,,,,,,,0,0,0,,,2.6,,7.4,7.4,7.4,7.4
1727654400000,  4,00:00:00,3,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,,,7.4,7.4,7.4,7.4,7.4,,9.5,9.5,,,,
1727740800000,  5,00:00:00,4,,,,,,,,,,,,,,7.4,7.4,7.4,7.4,,7.4,7.4,7.4,7.4,7.4,7.4
1727827200000,  6,00:00:00,5,7.4,7.4,,,,,,,,,,,,,,,0,0,,,0,0,0,0
1727913600000,  7,00:00:00,6,0,0,0,0,0,0,0,,,,44.3,44.4,,44.3,,,,0,0,,2.5,,,0
1728000000000,  8,00:00:00,7,0,0,0,0,0,0,0,0,0,0,0,,0.2,0.2,0,0,0,,,0,0,0,0,0
1728086400000,  9,00:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.5,,,6.5,6.5
1728172800000, 10,00:00:00,2,,,7.4,7.4,,,,,,,,,,,,,,,,,,6.5,,
1728259200000, 11,00:00:00,3,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,,7.3,,,0,0
1728345600000, 12,00:00:00,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728432000000, 13,00:00:00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.8,2.8,,0,0
1728518400000, 14,00:00:00,6,0,0,0,0,0,0,0,,,,44.3,44.4,44.4,44.3,,,,,,,,,,
1728604800000, 15,00:00:00,7,,,,,,,,,,,,,,,,804.7,804.7,804.7,804.7,,,,,
1728691200000, 16,00:00:00,1,,,,,,,,,,,804.7,804.7,,,805.4,,,,806.2,806.2,806.2,,,
1728777600000, 17,00:00:00,2,,,,,,,,,,,,,,,,,,,,,815.8,815.8,815.8,
1728864000000, 18,00:00:00,3,,806.2,806.2,806.2,806.2,806.2,806.2,806.2,806.2,,,,,793.6,793.7,,806.2,806.2,806.2,,,803.8,803.8,803.8
1728950400000, 19,00:00:00,4,803.8,803.8,803.8,803.8,803.8,803.8,,,,793.7,,,,,,,,,,7.4,7.4,7.4,7.4,7.4
1729036800000, 20,00:00:00,5,7.4,7.4,7.4,7.4,7.4,7.4,,,,,,,,,,,,,,,,,,
1729123200000, 21,00:00:00,6,,,,,,,,,,,,,,,,,,,,,9.5,,,7.4
1729209600000, 22,00:00:00,7,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,,,,,,,,8.7,,,
1729296000000, 23,00:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,
1729382400000, 24,00:00:00,2,,,,,,,,,,,,,,,,,,,,,3.8,,,
1729468800000, 25,00:00:00,3,7.4,7.4,7.4,7.4,7.4,,,,,,,7.4,,6.4,,,,7.4,,,,,,0
1729555200000, 26,00:00:00,4,0,0,0,0,0,0,0,,,,44.3,44.3,44.4,44.3,44.3,,,,,0,0,0,0,0
1729641600000, 27,00:00:00,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,2.8,2.8,2.8,2.8,
1729728000000, 28,00:00:00,6,,,0,0,0,0,0,,,,44.3,44.3,44.3,44.3,44.3,44.3,,,,0,,,,7.4
1729814400000, 29,00:00:00,7,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,,,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
1729900800000, 30,00:00:00,1,7.4,7.4,7.4,7.4,7.4,7.4,7.4,,,,7.4,7.4,7.4,7.4,,,,,8.7,8.7,8.7,8.7,8.7,8.7
1729987200000, 31,00:00:00,2,8.7,8.7,8.7,,,7.4,7.4,7.4,7.4,7.4,7.4,,,7.4,,,,,,,,,,
1730073600000, 32,00:00:00,3,,,,,,,,,,,,,,,,,,,,,,6.5,,
1730160000000, 33,00:00:00,4,,,,,,,,,,,,,,,,,,,,,,262.5,262.5,262.5
1730246400000, 34,00:00:00,5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,,,,,,,,,,,,,,,
1730332800000, 35,00:00:00,6,,,,,,,,,,,,,,,,,,,,,,,,
1730419200000, 36,00:00:00,7,,,,,,,,,,,,,,,,,,,,,,,,
