reftime,day,timeofday,weekday,activityScore_hour01,activityScore_hour02,activityScore_hour03,activityScore_hour04,activityScore_hour05,activityScore_hour06,activityScore_hour07,activityScore_hour08,activityScore_hour09,activityScore_hour10,activityScore_hour11,activityScore_hour12,activityScore_hour13,activityScore_hour14,activityScore_hour15,activityScore_hour16,activityScore_hour17,activityScore_hour18,activityScore_hour19,activityScore_hour20,activityScore_hour21,activityScore_hour22,activityScore_hour23,activityScore_hour24
1727395200000,  1,00:00:00,7,,,,,,,,,,,,,,,,,,,,,,,,
1727481600000,  2,00:00:00,1,,,,,,,,,,,1,1,2,2,,1,1,,,1,1,1,1,1
1727568000000,  3,00:00:00,2,1,1,1,1,1,1,,,,,,,,1,1,1,,,1,,1,1,1,1
1727654400000,  4,00:00:00,3,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,,,,
1727740800000,  5,00:00:00,4,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1,1
1727827200000,  6,00:00:00,5,1,1,,,,,,,,,,,,,,,1,1,,,1,1,1,1
1727913600000,  7,00:00:00,6,1,1,1,1,1,1,1,,,,1,,,1,,,,1,1,,1,,,1
1728000000000,  8,00:00:00,7,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,1,1,,,1,1,1,1,1
1728086400000,  9,00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,1,1
1728172800000, 10,00:00:00,2,,,1,1,,,,,,,,,,,,,,,,,,1,,
1728259200000, 11,00:00:00,3,1,1,1,1,1,1,1,1,1,,,,,,,1,1,,,1,,,1,1
1728345600000, 12,00:00:00,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1728432000000, 13,00:00:00,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1
1728518400000, 14,00:00:00,6,1,1,1,1,1,1,1,,,,1,,,1,,,,,,,,,,
1728604800000, 15,00:00:00,7,,,,,,,,,,,,,,,,1,1,1,1,,,,,
1728691200000, 16,00:00:00,1,,,,,,,,,,,1,1,,,1,,,,1,1,1,,,
1728777600000, 17,00:00:00,2,,,,,,,,,,,,,,,,,,,,,1,1,1,
1728864000000, 18,00:00:00,3,,1,1,1,1,1,1,1,1,,,,,1,2,,1,1,1,,,1,1,1
1728950400000, 19,00:00:00,4,1,1,1,1,1,1,,,,2,,,,,,,,,,1,1,1,1,1
1729036800000, 20,00:00:00,5,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1729123200000, 21,00:00:00,6,,,,,,,,,,,,,,,,,,,,,1,,,1
1729209600000, 22,00:00:00,7,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,
1729296000000, 23,00:00:00,1,,,,,,,,,,,,,,,,,,,,,,,,
1729382400000, 24,00:00:00,2,,,,,,,,,,,,,,,,,,,,,1,,,
