reftime,day,timeofday,weekday,activityScore_hour01,activityScore_hour02,activityScore_hour03,activityScore_hour04,activityScore_hour05,activityScore_hour06,activityScore_hour07,activityScore_hour08,activityScore_hour09,activityScore_hour10,activityScore_hour11,activityScore_hour12,activityScore_hour13,activityScore_hour14,activityScore_hour15,activityScore_hour16,activityScore_hour17,activityScore_hour18,activityScore_hour19,activityScore_hour20,activityScore_hour21,activityScore_hour22,activityScore_hour23,activityScore_hour24
1734480000000,51,00:00:00,5,1,1,1,1,1,1,1,,,,1,1,,,1,4,4,4,4,4,4,,8,1
1734566400000,52,00:00:00,6,,,,,,,,,1,2,2,2,2,2,2,2,2,2,9,9,,,,1
1734652800000,53,00:00:00,7,1,1,1,1,1,1,6,6,1,5,5,5,9,5,,,3,3,9,9,8,8,8,8
1734739200000,54,00:00:00,1,1,1,,,,,,,,2,2,2,2,2,2,2,,,,,,,1,9
1734825600000,55,00:00:00,2,,,1,,1,1,1,,,,9,9,6,6,6,1,1,1,9,9,,,,
1734912000000,56,00:00:00,3,,,,,,,,,,1,1,1,1,1,1,5,,,,,,,,
1734998400000,57,00:00:00,4,,,1,,1,1,1,1,1,1,7,7,7,7,1,5,5,9,,,3,3,3,3
1735084800000,58,00:00:00,5,3,3,,,3,3,,,,,3,3,3,3,9,3,,,3,3,9,9,3,
1735171200000,59,00:00:00,6,,,,,,,,,3,9,9,9,3,3,3,,,,,,3,3,3,
1735257600000,60,00:00:00,7,,,,,,,,,,9,1,1,1,1,9,9,,,,,9,9,1,1
1735344000000,61,00:00:00,1,,,1,,1,,,,9,6,6,6,6,1,1,1,1,1,9,9,,,1,1
1735430400000,62,00:00:00,2,1,1,,1,1,1,1,6,6,6,,1,1,9,1,,7,7,7,9,9,9,,
1735516800000,63,00:00:00,3,,,,,,,,,1,,1,1,1,9,9,1,1,9,,,,,,
1735603200000,64,00:00:00,4,1,1,1,1,1,1,1,6,6,1,1,7,,,,,,,,,,,,
