reftime,day,timeofday,weekday,activityScore_hour01,activityScore_hour02,activityScore_hour03,activityScore_hour04,activityScore_hour05,activityScore_hour06,activityScore_hour07,activityScore_hour08,activityScore_hour09,activityScore_hour10,activityScore_hour11,activityScore_hour12,activityScore_hour13,activityScore_hour14,activityScore_hour15,activityScore_hour16,activityScore_hour17,activityScore_hour18,activityScore_hour19,activityScore_hour20,activityScore_hour21,activityScore_hour22,activityScore_hour23,activityScore_hour24
1730160000000, 1,00:00:00,4,,,,,,,,,,,,,,,,,,,,,,,,
1730246400000, 2,00:00:00,5,,,,,,,,,,,,,,,,,9,,,4,,,7,
1730332800000, 3,00:00:00,6,,,,,,,,1,2,2,,2,,,,,,,,,,1,,
1730419200000, 4,00:00:00,7,,,,1,1,1,1,5,5,,,,5,,5,,5,,3,3,,,,3
1730505600000, 5,00:00:00,1,,1,1,1,1,1,1,1,,,,,,,,2,,,,,4,,,4
1730592000000, 6,00:00:00,2,,,,,,,,,,,,,,9,1,1,7,1,,,,,1,
1730678400000, 7,00:00:00,3,,,1,1,,1,1,1,1,1,1,4,,,,,,,9,,,1,,1
1730764800000, 8,00:00:00,4,1,1,1,1,1,1,6,6,1,,,2,,2,,9,,9,9,9,,9,,
1730851200000, 9,00:00:00,5,,1,1,1,1,1,6,6,2,2,,2,,,,,9,3,,3,1,,,
1730937600000,10,00:00:00,6,,,,,,,,,7,2,,,,,,,,,,,,,,
1731024000000,11,00:00:00,7,,1,,,,7,,,5,5,5,5,,,,,,9,1,1,1,1,,
1731110400000,12,00:00:00,1,,,1,1,,1,1,1,,,,,,,,2,2,,,,,,,
1731196800000,13,00:00:00,2,,1,,1,,,,,,,1,9,9,,9,,,,,,1,1,,
1731283200000,14,00:00:00,3,1,1,1,1,,,,1,1,,,,,,,,,,,,,8,,1
1731369600000,15,00:00:00,4,1,1,,,,1,6,6,,,,,,2,,,,1,1,,,1,,
1731456000000,16,00:00:00,5,1,1,1,1,1,1,1,1,,2,,2,,,,,2,,,8,8,,,
1731542400000,17,00:00:00,6,,,,,,,,,1,1,1,,,,,,,9,,,,,,1
1731628800000,18,00:00:00,7,,,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,4,4,,,4
1731715200000,19,00:00:00,1,4,4,4,4,4,4,4,4,4,9,,,,,,9,,9,,,,8,1,
1731801600000,20,00:00:00,2,,,,,,,,,1,1,1,7,9,9,,,,,9,1,1,1,1,
1731888000000,21,00:00:00,3,,,,,,,,,1,7,7,7,7,4,4,,4,4,,,1,1,1,1
1731974400000,22,00:00:00,4,1,1,1,1,1,6,6,6,2,2,2,,,2,,2,2,2,1,1,1,,,
1732060800000,23,00:00:00,5,,,,,,,,,1,2,2,2,,,9,9,9,,,,,,,1
1732147200000,24,00:00:00,6,,,,,,,,,7,2,2,2,2,,,,,4,,,,4,1,1
1732233600000,25,00:00:00,7,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,,,3,3,3,7,6,1
1732320000000,26,00:00:00,1,1,1,1,1,1,7,6,1,9,2,2,,9,9,9,2,2,2,9,9,,,,9
1732406400000,27,00:00:00,2,1,1,1,1,1,1,1,,,1,1,1,9,9,,,,,1,9,9,9,9,9
1732492800000,28,00:00:00,3,9,9,9,9,,,,,,,,9,,4,1,1,9,9,9,,,,1,
1732579200000,29,00:00:00,4,,1,1,1,1,1,6,6,1,,2,2,2,2,2,2,2,9,4,,,,7,1
1732665600000,30,00:00:00,5,,1,,1,1,1,1,1,1,1,1,7,7,9,,,9,9,1,1,8,8,8,1
1732752000000,31,00:00:00,6,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,9,9
1732838400000,32,00:00:00,7,,,,,,,,,3,,5,5,3,3,3,,,3,3,3,3,3,,3
1732924800000,33,00:00:00,1,,,,,,,1,1,1,1,9,,9,9,,,,4,4,,,8,8,1
1733011200000,34,00:00:00,2,,,,,,,1,1,1,1,1,1,1,1,1,5,,,,9,9,9,,
1733097600000,35,00:00:00,3,,,,,,,,,1,1,1,1,7,7,7,7,1,1,9,9,9,9,9,9
1733184000000,36,00:00:00,4,9,9,1,,,,,,1,1,2,2,2,2,2,2,2,2,9,4,4,4,4,4
1733270400000,37,00:00:00,5,4,1,1,1,1,1,6,6,1,2,2,2,2,,,2,2,9,1,8,8,1,1,1
1733356800000,38,00:00:00,6,1,1,,1,1,1,6,6,6,2,2,2,,,,,,,9,9,9,1,1,1
1733443200000,39,00:00:00,7,1,1,1,1,1,1,6,6,1,2,2,,,2,2,2,2,9,9,,,1,1,1
1733529600000,40,00:00:00,1,,1,1,1,1,1,6,6,7,2,2,2,,,2,2,2,2,2,4,4,4,,
1733616000000,41,00:00:00,2,1,1,1,1,1,1,1,1,1,,1,1,9,9,9,,,1,,9,9,9,9,9
1733702400000,42,00:00:00,3,9,,,,,,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,,,
1733788800000,43,00:00:00,4,,,1,1,1,1,6,6,1,2,2,2,2,,2,2,2,,4,4,4,4,1,1
1733875200000,44,00:00:00,5,1,1,1,1,1,1,6,6,2,2,2,2,2,2,,,2,,,,,,,
1733961600000,45,00:00:00,6,1,,,,1,1,6,6,1,2,2,2,,,9,9,2,2,2,1,9,,,
1734048000000,46,00:00:00,7,,,,,,,,5,5,5,5,5,5,5,5,5,5,,,,3,3,1,1
1734134400000,47,00:00:00,1,,1,1,1,1,1,7,6,1,1,9,9,2,2,2,2,,2,9,9,4,,,
1734220800000,48,00:00:00,2,1,,1,,,1,,,,9,9,9,9,9,1,7,7,7,7,,9,,,
1734307200000,49,00:00:00,3,,,,1,,1,1,1,1,,,7,7,7,9,9,9,9,9,9,,,,1
1734393600000,50,00:00:00,4,1,,,1,,,1,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,1
