reftime,day,timeofday,weekday,missing,homDist,radiusMobility,percentHomep,percentHome,numPlaces
1730160000000, 1,00:00:00,4,,,,,,
1730246400000, 2,00:00:00,5,6.8,0.43,5.03,44,80,7
1730332800000, 3,00:00:00,6,10.83,0,4.53,36,69,7
1730419200000, 4,00:00:00,7,16.35,47.45,47.45,43,58,4
1730505600000, 5,00:00:00,1,17.05,0,48.24,50,59,7
1730592000000, 6,00:00:00,2,15.3,0,5.41,56,70,7
1730678400000, 7,00:00:00,3,19.23,0,5.81,81,78,6
1730764800000, 8,00:00:00,4,19.7,0,48.41,42,48,6
1730851200000, 9,00:00:00,5,19.83,0,48.24,50,49,9
1730937600000,10,00:00:00,6,7.88,4.53,7.04,36,78,8
1731024000000,11,00:00:00,7,16.37,47.45,47.5,52,62,4
1731110400000,12,00:00:00,1,14.87,0,4.71,51,69,6
1731196800000,13,00:00:00,2,13.78,0,13.88,55,72,4
1731283200000,14,00:00:00,3,15,0,4.15,68,78,5
1731369600000,15,00:00:00,4,14.57,0,4.71,65,75,4
1731456000000,16,00:00:00,5,18.9,0,4.71,47,56,9
1731542400000,17,00:00:00,6,12.72,0,1.9,77,85,2
1731628800000,18,00:00:00,7,22.28,1.65,2.14,44,45,4
1731715200000,19,00:00:00,1,19.58,0.43,1.28,45,53,6
1731801600000,20,00:00:00,2,16.02,0,1.38,71,74,4
1731888000000,21,00:00:00,3,17.8,0,0.43,50,60,4
1731974400000,22,00:00:00,4,21.43,0,4.71,52,55,6
1732060800000,23,00:00:00,5,13.82,4.53,53,32,58,8
1732147200000,24,00:00:00,6,13.33,0,4.71,36,64,6
1732233600000,25,00:00:00,7,23.22,47.45,47.5,38,38,9
1732320000000,26,00:00:00,1,22.82,0,44.49,30,29,9
1732406400000,27,00:00:00,2,20.82,0,42.99,54,55,8
1732492800000,28,00:00:00,3,15.33,0,47.18,26,49,6
1732579200000,29,00:00:00,4,22.03,0,4.53,40,43,10
1732665600000,30,00:00:00,5,23.75,0,26.55,66,62,6
1732752000000,31,00:00:00,6,18.95,0,49.8,85,74,8
1732838400000,32,00:00:00,7,15.75,48.24,16.35,85,85,4
1732924800000,33,00:00:00,1,16.57,0,39.71,47,59,4
1733011200000,34,00:00:00,2,19.32,0,49.8,63,65,4
1733097600000,35,00:00:00,3,16.58,0,47.56,44,56,4
1733184000000,36,00:00:00,4,20.08,4.53,4.86,46,47,5
1733270400000,37,00:00:00,5,23.07,0,4.53,52,50,8
1733356800000,38,00:00:00,6,18.15,0,4.53,62,67,5
1733443200000,39,00:00:00,7,22.13,0,4.53,52,51,6
1733529600000,40,00:00:00,1,22.28,0,4.53,38,40,12
1733616000000,41,00:00:00,2,23.3,0,42.67,64,59,5
1733702400000,42,00:00:00,3,20.42,0,42.67,69,69,8
1733788800000,43,00:00:00,4,23.58,0,4.53,47,44,4
1733875200000,44,00:00:00,5,16.88,0,4.71,50,61,6
1733961600000,45,00:00:00,6,21.07,0,4.53,50,49,5
1734048000000,46,00:00:00,7,14.35,47.45,47.45,62,74,4
1734134400000,47,00:00:00,1,22.3,0,4.53,41,42,12
1734220800000,48,00:00:00,2,20.4,0,1.39,45,49,6
1734307200000,49,00:00:00,3,19.77,0,26.55,50,56,6
1734393600000,50,00:00:00,4,22.97,4.53,4.53,66,66,3
1734480000000,51,00:00:00,5,22.67,0,0.43,65,65,7
1734566400000,52,00:00:00,6,14.88,4.53,4.53,52,70,3
1734652800000,53,00:00:00,7,23.17,0,48.64,39,36,12
1734739200000,54,00:00:00,1,14.35,4.53,12.62,55,70,4
1734825600000,55,00:00:00,2,19.43,0,63,69,61,5
1734912000000,56,00:00:00,3,9.92,0,47.45,81,87,4
1734998400000,57,00:00:00,4,21.87,0,48.24,51,52,7
1735084800000,58,00:00:00,5,19.65,48.24,8.18,85,83,3
1735171200000,59,00:00:00,6,13.08,48.24,2.13,75,85,2
1735257600000,60,00:00:00,7,13.28,0,48.24,36,62,5
1735344000000,61,00:00:00,1,22.05,0,17.55,70,65,5
1735430400000,62,00:00:00,2,21.77,0,4.28,51,53,6
1735516800000,63,00:00:00,3,11.43,0,4.19,59,77,5
1735603200000,64,00:00:00,4,12.62,0,4.28,73,85,3
