reftime,day,timeofday,weekday,accelPhavail24,accelPhavail
1730160000000, 1,00:00:00,4,0,0
1730246400000, 2,00:00:00,5,0,420
1730332800000, 3,00:00:00,6,0,568
1730419200000, 4,00:00:00,7,0,942
1730505600000, 5,00:00:00,1,1,968
1730592000000, 6,00:00:00,2,0,900
1730678400000, 7,00:00:00,3,1,1009
1730764800000, 8,00:00:00,4,1,1161
1730851200000, 9,00:00:00,5,1,971
1730937600000,10,00:00:00,6,0,616
1731024000000,11,00:00:00,7,1,988
1731110400000,12,00:00:00,1,0,1026
1731196800000,13,00:00:00,2,0,751
1731283200000,14,00:00:00,3,0,947
1731369600000,15,00:00:00,4,0,942
1731456000000,16,00:00:00,5,0,912
1731542400000,17,00:00:00,6,0,826
1731628800000,18,00:00:00,7,1,1060
1731715200000,19,00:00:00,1,0,918
1731801600000,20,00:00:00,2,0,634
1731888000000,21,00:00:00,3,0,719
1731974400000,22,00:00:00,4,1,986
1732060800000,23,00:00:00,5,0,511
1732147200000,24,00:00:00,6,0,531
1732233600000,25,00:00:00,7,1,1029
1732320000000,26,00:00:00,1,1,991
1732406400000,27,00:00:00,2,0,913
1732492800000,28,00:00:00,3,0,641
1732579200000,29,00:00:00,4,1,959
1732665600000,30,00:00:00,5,1,1019
1732752000000,31,00:00:00,6,0,787
1732838400000,32,00:00:00,7,0,717
1732924800000,33,00:00:00,1,0,721
1733011200000,34,00:00:00,2,0,841
1733097600000,35,00:00:00,3,0,687
1733184000000,36,00:00:00,4,0,884
1733270400000,37,00:00:00,5,1,1029
1733356800000,38,00:00:00,6,0,846
1733443200000,39,00:00:00,7,1,1053
1733529600000,40,00:00:00,1,1,994
1733616000000,41,00:00:00,2,1,1047
1733702400000,42,00:00:00,3,0,882
1733788800000,43,00:00:00,4,1,1038
1733875200000,44,00:00:00,5,0,765
1733961600000,45,00:00:00,6,0,913
1734048000000,46,00:00:00,7,0,689
1734134400000,47,00:00:00,1,1,985
1734220800000,48,00:00:00,2,0,824
1734307200000,49,00:00:00,3,0,897
1734393600000,50,00:00:00,4,1,925
1734480000000,51,00:00:00,5,1,962
1734566400000,52,00:00:00,6,0,642
1734652800000,53,00:00:00,7,1,1066
1734739200000,54,00:00:00,1,0,605
1734825600000,55,00:00:00,2,1,870
1734912000000,56,00:00:00,3,0,455
1734998400000,57,00:00:00,4,0,1019
1735084800000,58,00:00:00,5,0,860
1735171200000,59,00:00:00,6,0,579
1735257600000,60,00:00:00,7,0,584
1735344000000,61,00:00:00,1,0,958
1735430400000,62,00:00:00,2,1,946
1735516800000,63,00:00:00,3,0,601
1735603200000,64,00:00:00,4,0,630
