reftime,day,timeofday,weekday,mphuse,hphuse
1730160000000, 1,00:00:00,4,0,0
1730246400000, 2,00:00:00,5,136,9
1730332800000, 3,00:00:00,6,148,16
1730419200000, 4,00:00:00,7,330,21
1730505600000, 5,00:00:00,1,260,23
1730592000000, 6,00:00:00,2,358,19
1730678400000, 7,00:00:00,3,290,23
1730764800000, 8,00:00:00,4,275,24
1730851200000, 9,00:00:00,5,431,22
1730937600000,10,00:00:00,6,210,16
1731024000000,11,00:00:00,7,274,22
1731110400000,12,00:00:00,1,311,21
1731196800000,13,00:00:00,2,270,19
1731283200000,14,00:00:00,3,346,22
1731369600000,15,00:00:00,4,262,22
1731456000000,16,00:00:00,5,212,22
1731542400000,17,00:00:00,6,361,18
1731628800000,18,00:00:00,7,241,21
1731715200000,19,00:00:00,1,214,21
1731801600000,20,00:00:00,2,264,17
1731888000000,21,00:00:00,3,321,19
1731974400000,22,00:00:00,4,359,22
1732060800000,23,00:00:00,5,265,15
1732147200000,24,00:00:00,6,182,15
1732233600000,25,00:00:00,7,348,23
1732320000000,26,00:00:00,1,233,22
1732406400000,27,00:00:00,2,271,19
1732492800000,28,00:00:00,3,204,18
1732579200000,29,00:00:00,4,260,24
1732665600000,30,00:00:00,5,354,24
1732752000000,31,00:00:00,6,240,21
1732838400000,32,00:00:00,7,378,17
1732924800000,33,00:00:00,1,264,19
1733011200000,34,00:00:00,2,245,22
1733097600000,35,00:00:00,3,266,17
1733184000000,36,00:00:00,4,220,18
1733270400000,37,00:00:00,5,167,22
1733356800000,38,00:00:00,6,194,18
1733443200000,39,00:00:00,7,272,22
1733529600000,40,00:00:00,1,212,23
1733616000000,41,00:00:00,2,362,23
1733702400000,42,00:00:00,3,278,21
1733788800000,43,00:00:00,4,273,20
1733875200000,44,00:00:00,5,170,19
1733961600000,45,00:00:00,6,266,21
1734048000000,46,00:00:00,7,238,15
1734134400000,47,00:00:00,1,208,21
1734220800000,48,00:00:00,2,221,20
1734307200000,49,00:00:00,3,287,20
1734393600000,50,00:00:00,4,162,22
1734480000000,51,00:00:00,5,176,24
1734566400000,52,00:00:00,6,131,16
1734652800000,53,00:00:00,7,342,23
1734739200000,54,00:00:00,1,258,16
1734825600000,55,00:00:00,2,308,22
1734912000000,56,00:00:00,3,181,11
1734998400000,57,00:00:00,4,290,23
1735084800000,58,00:00:00,5,284,19
1735171200000,59,00:00:00,6,202,14
1735257600000,60,00:00:00,7,162,15
1735344000000,61,00:00:00,1,352,22
1735430400000,62,00:00:00,2,185,21
1735516800000,63,00:00:00,3,178,16
1735603200000,64,00:00:00,4,179,12
